R,M
1.208, 1.240e+8
1.861, 1.661e+8
2.527, 2.048e+8
3.160, 2.638e+8
3.817, 3.209e+8
4.428, 4.005e+8
5.025, 4.819e+8
5.635, 5.611e+8
6.260, 6.320e+8
6.898, 6.932e+8
7.507, 7.409e+8
8.217, 7.792e+8
8.883, 8.020e+8
9.563, 8.193e+8
10.24, 8.321e+8
10.91, 8.413e+8
11.59, 8.480e+8
12.27, 8.517e+8
12.95, 8.517e+8
13.63, 8.554e+8
14.31, 8.547e+8
14.99, 8.554e+8
15.67, 8.554e+8
16.35, 8.560e+8
17.02, 8.554e+8
17.71, 8.560e+8
18.38, 8.560e+8
19.06, 8.591e+8
19.74, 8.591e+8
20.42, 8.591e+8
21.10, 8.591e+8
21.78, 8.591e+8
22.46, 8.591e+8
23.14, 8.591e+8
23.82, 8.591e+8
24.50, 8.591e+8
25.18, 8.591e+8
25.84, 8.591e+8
26.54, 8.591e+8
27.20, 8.591e+8
27.88, 8.591e+8
28.56, 8.591e+8
29.24, 8.591e+8
29.92, 8.591e+8
30.60, 8.591e+8
31.28, 8.591e+8
