R,M
0.6531, 1.061e+8
0.9585, 1.282e+8
1.264, 1.463e+8
1.569, 1.738e+8
1.874, 1.916e+8
2.180, 2.237e+8
2.485, 2.490e+8
2.790, 2.850e+8
3.101, 3.185e+8
3.401, 3.598e+8
3.706, 4.147e+8
4.012, 4.787e+8
4.317, 5.427e+8
4.622, 6.124e+8
4.928, 6.889e+8
5.233, 7.659e+8
5.524, 8.425e+8
5.802, 9.258e+8
6.065, 1.005e+9
6.329, 1.086e+9
6.579, 1.165e+9
6.801, 1.246e+9
7.023, 1.325e+9
7.245, 1.406e+9
7.453, 1.481e+9
7.634, 1.567e+9
7.800, 1.655e+9
7.967, 1.744e+9
8.133, 1.832e+9
8.300, 1.920e+9
8.452, 2.000e+9
8.591, 2.085e+9
8.730, 2.176e+9
8.869, 2.267e+9
9.008, 2.359e+9
9.146, 2.449e+9
9.285, 2.542e+9
9.424, 2.632e+9
9.563, 2.728e+9
9.688, 2.817e+9
9.812, 2.905e+9
9.937, 2.994e+9
10.05, 3.074e+9
10.16, 3.152e+9
10.27, 3.230e+9
10.38, 3.310e+9
10.49, 3.390e+9
10.60, 3.474e+9
10.71, 3.561e+9
10.83, 3.650e+9
10.94, 3.738e+9
11.05, 3.827e+9
11.16, 3.913e+9
11.27, 3.997e+9
11.38, 4.085e+9
11.49, 4.173e+9
11.60, 4.260e+9
11.71, 4.344e+9
11.82, 4.431e+9
11.94, 4.515e+9
12.05, 4.601e+9
12.16, 4.687e+9
12.27, 4.771e+9
12.38, 4.859e+9
12.49, 4.942e+9
12.62, 5.024e+9
12.75, 5.114e+9
12.89, 5.203e+9
13.03, 5.293e+9
13.17, 5.382e+9
13.31, 5.471e+9
13.45, 5.560e+9
13.60, 5.645e+9
13.77, 5.732e+9
13.93, 5.818e+9
14.10, 5.905e+9
14.27, 5.990e+9
14.43, 6.078e+9
14.61, 6.156e+9
14.81, 6.234e+9
15.00, 6.310e+9
15.21, 6.391e+9
15.43, 6.478e+9
15.68, 6.559e+9
15.96, 6.641e+9
16.24, 6.724e+9
16.53, 6.807e+9
16.83, 6.877e+9
17.14, 6.947e+9
17.45, 7.015e+9
17.75, 7.071e+9
18.06, 7.125e+9
18.36, 7.178e+9
18.67, 7.225e+9
18.97, 7.268e+9
19.28, 7.312e+9
19.58, 7.353e+9
19.89, 7.388e+9
20.19, 7.424e+9
20.50, 7.459e+9
20.80, 7.488e+9
21.11, 7.518e+9
21.41, 7.547e+9
21.72, 7.574e+9
22.02, 7.599e+9
22.33, 7.624e+9
22.64, 7.647e+9
22.94, 7.668e+9
23.25, 7.689e+9
23.55, 7.710e+9
23.86, 7.728e+9
24.16, 7.746e+9
24.47, 7.764e+9
24.77, 7.781e+9
25.08, 7.797e+9
25.38, 7.812e+9
25.69, 7.828e+9
25.99, 7.842e+9
26.30, 7.856e+9
26.60, 7.869e+9
26.91, 7.882e+9
27.22, 7.895e+9
27.52, 7.907e+9
27.83, 7.920e+9
28.13, 7.931e+9
28.44, 7.944e+9
28.74, 7.955e+9
29.05, 7.965e+9
29.35, 7.975e+9
29.66, 7.984e+9
29.96, 7.993e+9
30.27, 8.001e+9
30.57, 8.007e+9
30.88, 8.009e+9
31.05, 8.011e+9
